,Index,Age,Workclass,fnlwgt,Education,Education.num,Marital.status,Occupation,Relationship,Race,Sex,Capital.gain,Capital.loss,Hours.per.week,Native.country,Income,Counterfactual.request,Counterfactual Request
1,1,47,Self-emp-not-inc,145290,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,50,United-States,>50K,sex,
1,1,47,Part-time-self-emp,145290,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,0,1500,35,United-States,<=50K,sex,
2,2,41,Local-gov,297248,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,45,United-States,>50K,sex,
2,2,41,Local-gov,297248,Prof-school,15,Married-civ-spouse,Nurse,Wife,White,Female,0,1800,40,United-States,<=50K,sex,
3,3,42,Private,154374,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,60,United-States,>50K,sex,
3,3,42,Private,154374,Bachelors,13,Married-civ-spouse,Admin-clerical,Wife,White,Female,0,978,40,United-States,<=50K,sex,
4,4,49,Private,199029,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,2415,55,United-States,,sex,
4,4,49,Private,199029,Bachelors,13,Married-civ-spouse,Admin-clerical,Wife,White,Female,0,1500,40,United-States,<=50K,sex,
5,5,46,Private,326857,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,2415,65,United-States,>50K,sex,
5,5,46,Private,326857,Masters,14,Married-civ-spouse,Healthcare,Wife,White,Female,0,2415,40,United-States,<=50K,sex,
6,6,40,Private,160369,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,45,United-States,>50K,sex,
6,6,40,Private,160369,Masters,14,Married-civ-spouse,Admin-clerical,Wife,White,Female,0,2415,40,United-States,<=50K,sex,
7,7,41,Self-emp-inc,151089,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,55,United-States,>50K,sex,
7,7,41,Self-emp-inc,151089,Some-college,10,Married-civ-spouse,Admin-clerical,Wife,White,Female,0,1207,40,United-States,<=50K,sex,
8,8,35,Private,192923,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2377,40,United-States,<=50K,sex,
8,8,35,Private,192923,HS-grad,9,Married-civ-spouse,Administrative-clerk,Wife,White,Female,0,2377,35,United-States,<=50K,sex,
9,9,61,Self-emp-not-inc,36671,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,2352,50,United-States,<=50K,sex,
9,9,57,Self-emp-not-inc,34287,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,1762,40,United-States,<=50K,sex,
10,10,66,Local-gov,36364,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2267,40,United-States,<=50K,sex,
10,10,66,Local-gov,36364,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,2267,35,United-States,<=50K,sex,
11,11,69,Private,124930,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,2267,40,United-States,<=50K,sex,
11,11,69,Private,124930,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,2267,35,United-States,<=50K,sex,
12,12,28,Private,166481,7th-8th,4,Married-civ-spouse,Handlers-cleaners,Husband,Other,Male,0,2179,40,Puerto-Rico,<=50K,sex,
12,12,28,Private,166481,Some-college,10,Married-civ-spouse,Sales,Wife,Other,Female,0,2179,35,Puerto-Rico,<=50K,sex,
13,13,41,Self-emp-inc,139916,Assoc-voc,11,Married-civ-spouse,Sales,Husband,Other,Male,0,2179,84,Mexico,<=50K,sex,
13,13,41,Self-emp-inc,139916,Assoc-voc,11,Married-civ-spouse,Office-Clerical,Wife,Other,Female,0,2179,40,Mexico,<=50K,sex,
14,14,43,Self-emp-inc,188436,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,5013,0,45,United-States,<=50K,sex,
14,14,43,Self-emp-inc,188436,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,2000,0,40,United-States,<=50K,,sex
15,15,54,Private,398212,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,5013,0,40,United-States,<=50K,sex,
15,15,54,Private,398212,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,Black,Female,3102,0,35,United-States,<=50K,sex,
16,16,45,Self-emp-not-inc,256866,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,5013,0,40,United-States,<=50K,sex,
16,16,45,Self-emp-not-inc,256866,Some-college,10,Married-civ-spouse,Sales,Wife,White,Female,2756,0,35,United-States,<=50K,sex,
17,17,47,Private,326857,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,5013,0,40,United-States,<=50K,sex,
17,17,47,Private,326857,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Wife,White,Female,2507,0,35,United-States,<=50K,sex,
18,18,65,Self-emp-inc,81413,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,2352,65,United-States,<=50K,sex,
18,18,65,Self-emp-inc,81413,HS-grad,9,Married-civ-spouse,Homemaker,Wife,White,Female,0,2352,35,United-States,<=50K,,sex
19,19,66,Local-gov,36364,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2267,40,United-States,<=50K,sex,
19,19,66,Local-gov,36364,HS-grad,9,Married-civ-spouse,Office-Clerical,Wife,White,Female,0,2267,35,United-States,<=50K,,sex
20,20,69,Private,124930,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,2267,40,United-States,<=50K,sex,
20,20,69,Private,124930,5th-6th,3,Married-civ-spouse,Homemaker,Wife,White,Female,0,1000,30,United-States,<=50K,,sex
21,21,64,Private,181232,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2179,40,United-States,<=50K,sex,
21,21,64,Private,181232,11th,7,Married-civ-spouse,Sales,Wife,White,Female,0,2179,35,United-States,<=50K,sex,
22,22,28,Private,166481,7th-8th,4,Married-civ-spouse,Handlers-cleaners,Husband,Other,Male,0,2179,40,Puerto-Rico,<=50K,sex,
22,22,28,Private,166481,HS-grad,9,Married-civ-spouse,Sales,Wife,Other,Female,0,2179,35,Puerto-Rico,<=50K,,sex
23,23,41,Self-emp-inc,139916,Assoc-voc,11,Married-civ-spouse,Sales,Husband,Other,Male,0,2179,84,Mexico,<=50K,sex,
23,23,41,Self-emp-inc,139916,Assoc-voc,11,Married-civ-spouse,Sales,Wife,Other,Female,0,2179,40,Mexico,<=50K,sex,
1,1,41,Self-emp-not-inc,144594,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2179,40,United-States,<=50K,race,
0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
2,2,27,Private,116358,Some-college,10,Never-married,Craft-repair,Own-child,Asian-Pac-Islander,Male,0,1980,40,Philippines,<=50K,race,
2,2,27,Private,116358,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,0,1980,40,United States,<=50K,race,
3,3,21,Private,109414,Some-college,10,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Male,0,1974,40,United-States,<=50K,race,
3,3,21,Private,109414,Some-college,10,Never-married,Craft-repair,Other-relative,White,Male,0,1974,36,United-States,<=50K,race,
4,4,27,Private,292472,Some-college,10,Never-married,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,0,1876,45,Cambodia,<=50K,race,
4,4,27,Private,292472,Some-college,10,Never-married,Adm-clerical,Not-in-family,Black,Male,0,1876,40,United-States,<=50K,race,
5,5,38,Local-gov,123983,Bachelors,13,Never-married,Exec-managerial,Unmarried,Asian-Pac-Islander,Male,0,1741,40,Vietnam,<=50K,race,
5,5,38,Local-gov,123983,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,1741,40,United States,>50K,race,
6,6,46,Private,138370,7th-8th,4,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,0,1651,40,China,<=50K,race,
6,6,46,Private,138370,7th-8th,4,Married-civ-spouse,Other-service,Husband,White,Male,0,1651,40,China,<=50K,race,
7,7,51,Federal-gov,223206,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,15024,0,40,Vietnam,>50K,race,
7,7,51,Federal-gov,223206,Doctorate,16,Married-civ-spouse,Prof-specialty,Wife,White,Female,15024,0,35,Vietnam,<=50K,race,
8,8,23,Private,106957,11th,7,Never-married,Craft-repair,Own-child,Asian-Pac-Islander,Male,14344,0,40,Vietnam,>50K,race,
8,8,23,Private,106957,11th,7,Never-married,Craft-repair,Own-child,White,Male,14344,0,40,United States,>50K,race,
9,9,34,Private,160261,HS-grad,9,Never-married,Tech-support,Own-child,Asian-Pac-Islander,Male,14084,0,35,China,>50K,race,
9,9,34,Private,160261,HS-grad,9,Never-married,Sales,Own-child,White,Male,10000,0,40,United States,>50K,race,
10,10,40,Private,121956,Bachelors,13,Married-spouse-absent,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,13550,0,40,Cambodia,>50K,race,
10,10,40,Private,121956,Bachelors,13,Married-spouse-absent,Sales,Husband,White,Male,10000,0,45,United States,>50K,race,
11,11,27,Private,186454,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,13550,0,40,United-States,>50K,race,
11,11,27,Private,186454,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,13550,0,40,United-States,>50K,,race
12,12,34,Private,96483,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,8614,0,60,United-States,>50K,race,
12,12,34,Private,96483,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,White,Female,8614,0,40,United-States,<=50K,race,
13,13,24,Private,243190,Assoc-acdm,12,Separated,Craft-repair,Unmarried,Asian-Pac-Islander,Male,8614,0,40,United-States,>50K,race,
13,13,24,Private,243190,Assoc-acdm,12,Separated,Sales,Unmarried,White,Male,6914,0,38,United-States,>50K,race,
14,14,33,Private,274222,Bachelors,13,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,7688,0,38,United-States,>50K,race,
14,14,33,Private,274222,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,7688,0,40,United-States,>50K,race,
15,15,50,Self-emp-inc,156623,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,7688,0,50,Philippines,>50K,race,
15,15,50,Self-emp-inc,156623,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,50,United States,>50K,race,
16,16,40,Private,177027,Bachelors,13,Married-civ-spouse,Other-service,Wife,Asian-Pac-Islander,Female,7688,0,52,Japan,>50K,race,
16,16,40,Private,177027,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,7688,0,40,United States,>50K,race,
17,17,53,Self-emp-not-inc,135339,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,7688,0,20,China,>50K,race,
17,17,53,Self-emp-not-inc,135339,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,40,United States,>50K,race,
18,18,38,State-gov,125499,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,7688,0,60,India,>50K,race,
18,18,38,State-gov,125499,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,2000,0,45,India,<=50K,race,
19,19,34,Private,142897,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,7298,0,35,Taiwan,>50K,race,
19,19,34,Private,142897,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,7298,0,40,United States,>50K,race,
20,20,54,Private,225599,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,7298,0,40,India,>50K,race,
20,20,54,Private,225599,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,4729,0,35,United States,<=50K,race,
21,21,37,Federal-gov,22201,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,7298,0,40,Philippines,>50K,race,
