,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,time,sh_entropy,k,disc,min_entropy
1516,0.0,9.0,0.0,1.0,1.0,149.0,0.0,1.0,0.0,6.0,10.0,149.0,2.0,0.0,0.0,3.0,85.71303153038025,1,2,1,1.0
1517,0.0,9.0,0.0,1.0,1.0,148.0,0.0,1.0,0.0,6.0,10.0,149.0,2.0,0.0,0.0,3.0,85.79984402656555,1,2,1,1.0
1519,0.0,9.0,0.0,1.0,1.0,147.0,0.0,1.0,0.0,6.0,10.0,149.0,2.0,0.0,0.0,3.0,85.81629610061646,1,2,1,1.0
1521,0.0,9.0,0.0,1.0,1.0,147.0,0.0,1.0,0.0,6.0,10.0,150.0,2.0,0.0,0.0,3.0,85.83258533477783,1,2,1,1.0
1522,0.0,9.0,0.0,1.0,1.0,146.0,0.0,1.0,0.0,6.0,10.0,150.0,2.0,0.0,0.0,3.0,85.84358072280884,1,2,1,1.0
1523,0.0,9.0,0.0,1.0,1.0,145.0,0.0,1.0,0.0,6.0,10.0,150.0,2.0,0.0,0.0,3.0,85.85180330276489,1,2,1,1.0
1524,0.0,9.0,0.0,1.0,1.0,144.0,0.0,1.0,0.0,6.0,10.0,150.0,2.0,0.0,0.0,3.0,85.85983562469482,1,2,1,1.0
1525,0.0,9.0,0.0,1.0,1.0,144.0,0.0,1.0,0.0,6.0,10.0,151.0,2.0,0.0,0.0,3.0,85.86797881126404,1,2,1,1.0
1526,0.0,9.0,0.0,1.0,1.0,143.0,0.0,1.0,0.0,6.0,10.0,151.0,2.0,0.0,0.0,3.0,85.87624216079712,1,2,1,1.0
1527,0.0,9.0,0.0,1.0,1.0,143.0,0.0,1.0,0.0,6.0,10.0,152.0,2.0,0.0,0.0,3.0,85.90868520736694,1,2,1,1.0
1528,0.0,9.0,0.0,1.0,1.0,142.0,0.0,1.0,0.0,6.0,10.0,152.0,2.0,0.0,0.0,3.0,85.916907787323,1,2,1,1.0
1529,0.0,9.0,0.0,1.0,1.0,142.0,0.0,1.0,0.0,6.0,10.0,151.0,2.0,0.0,0.0,3.0,85.92508602142334,1,2,1,1.0
1530,0.0,9.0,0.0,1.0,1.0,142.0,0.0,1.0,0.0,6.0,10.0,150.0,2.0,0.0,0.0,3.0,85.93319439888,1,2,1,1.0
