,Index,Age,Workclass,fnlwgt,Education,Education.num,Marital.status,Occupation,Relationship,Race,Sex,Capital.gain,Capital.loss,Hours.per.week,Native.country,Income,Counterfactual.request
1,1,47,Self-emp-not-inc,145290,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,50,United-States,>50K,sex
1,1,47,Self-emp-not-inc,145290,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,2415,30,United-States,>50K,
2,2,41,Local-gov,297248,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,45,United-States,>50K,sex
2,2,41,Local-gov,297248,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,2415,35,United-States,>50K,
3,3,42,Private,154374,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,60,United-States,>50K,sex
3,3,42,Private,154374,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,2415,40,United-States,>50K,
4,4,49,Private,199029,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,2415,55,United-States,,sex
4,4,49,Private,199029,Bachelors,13,Married-civ-spouse,Sales,Wife,White,Female,0,2415,20,United-States,>50K,
5,5,46,Private,326857,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,2415,65,United-States,>50K,sex
5,5,46,Private,326857,Masters,14,Married-civ-spouse,Sales,Wife,White,Female,0,-2415,40,United-States,>50K,
6,6,40,Private,160369,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,45,United-States,>50K,sex
6,6,40,Private,160369,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,2415,35,United-States,>50K,
7,7,41,Self-emp-inc,151089,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,55,United-States,>50K,sex
7,7,41,Self-emp-inc,151089,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,2415,40,United-States,>50K,
8,8,35,Private,192923,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2377,40,United-States,<=50K,sex
8,8,35,Private,192923,HS-grad,9,Married-civ-spouse,Craft-repair,Wife,White,Female,0,2377,35,United-States,<=50K,
9,9,61,Self-emp-not-inc,36671,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,2352,50,United-States,<=50K,sex
9,9,61,Self-emp-not-inc,36671,HS-grad,9,Married-civ-spouse,Farming-fishing,Wife,White,Female,0,2352,40,United-States,<=50K,
10,10,66,Local-gov,36364,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2267,40,United-States,<=50K,sex
10,10,66,Local-gov,36364,HS-grad,9,Married-civ-spouse,Craft-repair,Wife,White,Female,0,2267,35,United-States,<=50K,sex
11,11,69,Private,124930,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,2267,40,United-States,<=50K,sex
11,11,69,Private,124930,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,-2341,0,30,United-States,<=50K,
12,12,28,Private,166481,7th-8th,4,Married-civ-spouse,Handlers-cleaners,Husband,Other,Male,0,2179,40,Puerto-Rico,<=50K,sex
12,12,28,Private,166481,7th-8th,4,Married-civ-spouse,Handlers-cleaners,Wife,Other,Female,0,2179,30,Puerto-Rico,<=50K,
13,13,41,Self-emp-inc,139916,Assoc-voc,11,Married-civ-spouse,Sales,Husband,Other,Male,0,2179,84,Mexico,<=50K,sex
13,13,41,Self-emp-inc,139916,Assoc-voc,11,Married-civ-spouse,Sales,Wife,Other,Female,0,2179,56,Mexico,<=50K,
